year,age_group,count
1938,Under 20,14.8
1938,20 to 24,94.1
1938,25 to 29,114.8
1938,30 to 34,83.3
1938,35 to 39,46.8
1938,40 and over,17.3
1939,Under 20,16
1939,20 to 24,92.7
1939,25 to 29,113.4
1939,30 to 34,81.4
1939,35 to 39,46.6
1939,40 and over,16.7
1940,Under 20,15.3
1940,20 to 24,90.7
1940,25 to 29,108.4
1940,30 to 34,75.2
1940,35 to 39,43
1940,40 and over,16.1
1941,Under 20,15.2
1941,20 to 24,93.8
1941,25 to 29,105.9
1941,30 to 34,72.3
1941,35 to 39,43.2
1941,40 and over,16.8
1942,Under 20,15.8
1942,20 to 24,107.9
1942,25 to 29,122.8
1942,30 to 34,85.8
1942,35 to 39,48.7
1942,40 and over,18
1943,Under 20,15.7
1943,20 to 24,101.5
1943,25 to 29,123
1943,30 to 34,93.3
1943,35 to 39,53.8
1943,40 and over,19.1
1944,Under 20,16.4
1944,20 to 24,108
1944,25 to 29,134.6
1944,30 to 34,106.6
1944,35 to 39,63.2
1944,40 and over,20.8
1945,Under 20,17.2
1945,20 to 24,103
1945,25 to 29,117.5
1945,30 to 34,93.8
1945,35 to 39,57.8
1945,40 and over,19.8
1946,Under 20,16.8
1946,20 to 24,119.3
1946,25 to 29,153.4
1946,30 to 34,118
1946,35 to 39,66.2
1946,40 and over,20.4
1947,Under 20,19.3
1947,20 to 24,146
1947,25 to 29,169.7
1947,30 to 34,117.6
1947,35 to 39,65.6
1947,40 and over,20.8
1948,Under 20,21.4
1948,20 to 24,136.9
1948,25 to 29,145.2
1948,30 to 34,99.2
1948,35 to 39,56.2
1948,40 and over,18.6
1949,Under 20,22.7
1949,20 to 24,132.4
1949,25 to 29,138.3
1949,30 to 34,92.3
1949,35 to 39,50.7
1949,40 and over,16.3
1950,Under 20,22.2
1950,20 to 24,126.3
1950,25 to 29,136.2
1950,30 to 34,89.4
1950,35 to 39,48.3
1950,40 and over,15.2
1951,Under 20,21.2
1951,20 to 24,126.1
1951,25 to 29,133.6
1951,30 to 34,88.8
1951,35 to 39,45.9
1951,40 and over,14.3
1952,Under 20,21.3
1952,20 to 24,128.8
1952,25 to 29,134.8
1952,30 to 34,88.7
1952,35 to 39,44.4
1952,40 and over,14.1
1953,Under 20,22
1953,20 to 24,134.7
1953,25 to 29,139.5
1953,30 to 34,89
1953,35 to 39,44.2
1953,40 and over,13.8
1954,Under 20,22.7
1954,20 to 24,136.3
1954,25 to 29,139.2
1954,30 to 34,84.9
1954,35 to 39,44.3
1954,40 and over,13.8
1955,Under 20,23.6
1955,20 to 24,137
1955,25 to 29,141.7
1955,30 to 34,84.3
1955,35 to 39,44.2
1955,40 and over,13.2
1956,Under 20,27.3
1956,20 to 24,146.8
1956,25 to 29,150.6
1956,30 to 34,88.2
1956,35 to 39,45.5
1956,40 and over,13.2
1957,Under 20,29.7
1957,20 to 24,152.7
1957,25 to 29,157.4
1957,30 to 34,91.4
1957,35 to 39,46.5
1957,40 and over,13.1
1958,Under 20,31
1958,20 to 24,158.3
1958,25 to 29,161.5
1958,30 to 34,93.6
1958,35 to 39,45.8
1958,40 and over,12.9
1959,Under 20,31.6
1959,20 to 24,160.3
1959,25 to 29,163.8
1959,30 to 34,94.7
1959,35 to 39,44.1
1959,40 and over,13.2
1960,Under 20,34
1960,20 to 24,165.6
1960,25 to 29,171.9
1960,30 to 34,100.8
1960,35 to 39,46.4
1960,40 and over,14.7
1961,Under 20,37.3
1961,20 to 24,172.6
1961,25 to 29,176.9
1961,30 to 34,103.1
1961,35 to 39,48.1
1961,40 and over,15
1962,Under 20,39.2
1962,20 to 24,178.8
1962,25 to 29,181.6
1962,30 to 34,104.5
1962,35 to 39,48.6
1962,40 and over,14.9
1963,Under 20,40.1
1963,20 to 24,180.1
1963,25 to 29,184.5
1963,30 to 34,105.6
1963,35 to 39,48.4
1963,40 and over,14.1
1964,Under 20,42.5
1964,20 to 24,181.6
1964,25 to 29,187.3
1964,30 to 34,107.7
1964,35 to 39,49.8
1964,40 and over,13.7
1965,Under 20,45.1
1965,20 to 24,178.8
1965,25 to 29,180.2
1965,30 to 34,102.7
1965,35 to 39,48.1
1965,40 and over,13.4
1966,Under 20,47.7
1966,20 to 24,176
1966,25 to 29,174
1966,30 to 34,97.3
1966,35 to 39,45.3
1966,40 and over,12.5
1967,Under 20,48.9
1967,20 to 24,166.5
1967,25 to 29,166.8
1967,30 to 34,93
1967,35 to 39,43.2
1967,40 and over,12.1
1968,Under 20,49
1968,20 to 24,162.3
1968,25 to 29,162.5
1968,30 to 34,89
1968,35 to 39,40.3
1968,40 and over,11.2
1969,Under 20,49.6
1969,20 to 24,156.2
1969,25 to 29,157.5
1969,30 to 34,84.6
1969,35 to 39,37.3
1969,40 and over,10.2
1970,Under 20,49.6
1970,20 to 24,155
1970,25 to 29,153.7
1970,30 to 34,79.8
1970,35 to 39,34.7
1970,40 and over,9.2
1971,Under 20,50.6
1971,20 to 24,152.9
1971,25 to 29,153.2
1971,30 to 34,77.1
1971,35 to 39,32.8
1971,40 and over,8.7
1972,Under 20,48
1972,20 to 24,140.4
1972,25 to 29,141.8
1972,30 to 34,69.3
1972,35 to 39,28.9
1972,40 and over,7.6
1973,Under 20,43.9
1973,20 to 24,130.2
1973,25 to 29,134
1973,30 to 34,63.1
1973,35 to 39,24.5
1973,40 and over,6.5
1974,Under 20,40.5
1974,20 to 24,123.2
1974,25 to 29,128
1974,30 to 34,59.9
1974,35 to 39,21.5
1974,40 and over,5.8
1975,Under 20,36.4
1975,20 to 24,114.1
1975,25 to 29,121.9
1975,30 to 34,58
1975,35 to 39,19.9
1975,40 and over,5.3
1976,Under 20,32.2
1976,20 to 24,109.3
1976,25 to 29,118.7
1976,30 to 34,57.2
1976,35 to 39,18.6
1976,40 and over,4.8
1977,Under 20,29.4
1977,20 to 24,103.7
1977,25 to 29,117.5
1977,30 to 34,58.6
1977,35 to 39,18.2
1977,40 and over,4.4
1978,Under 20,29.4
1978,20 to 24,106.9
1978,25 to 29,122.6
1978,30 to 34,63.1
1978,35 to 39,19.5
1978,40 and over,4.5
1979,Under 20,30.3
1979,20 to 24,111.3
1979,25 to 29,131.2
1979,30 to 34,69
1979,35 to 39,21.3
1979,40 and over,4.7
1980,Under 20,30.4
1980,20 to 24,112.7
1980,25 to 29,133.6
1980,30 to 34,70.5
1980,35 to 39,22.3
1980,40 and over,4.8
1981,Under 20,28.1
1981,20 to 24,105.3
1981,25 to 29,129.1
