rowid,consumption,income,floor_area,property_age,tenure,bedrooms,property_type,region,country,adults
1,20603.4416115086,38397.8089610305,51 to 100,Post 1999,Privately rented,6,end terrace,York and Humber,England,4
2,12210.2399550382,32742.2937350439,51 to 100,1945 to 1964,Council/Housing Association,4,unknown,North West,England,2
3,16236.108183192,49932.8480814056,151 to 200,Post 1999,Council/Housing Association,5,purpose built flat,West Midlands,England,3
4,17406.0510452193,31932.0137694627,101 to 150,1984 to 1992,Owner-occupied,6,end terrace,York and Humber,England,2
5,16413.7433591282,27745.4251891656,51 to 100,1984 to 1992,Privately rented,7,converted flat,Wales,Wales,3
6,14201.229059863,40410.0192864878,50 or less,1993 to 1999,Unknown,5,bungalow,West Midlands,England,4
7,21214.8046736566,43456.9054399587,50 or less,Post 1999,Owner-occupied,5,detached,York and Humber,England,1
8,14251.2372852649,35253.648182631,50 or less,1919 to 1944,Unknown,4,detached,South West,England,2
9,23412.4410097392,47588.1203819055,Over 250,1984 to 1992,Privately rented,5,end terrace,North West,England,2
10,14389.8113190144,19983.1051599917,151 to 200,1993 to 1999,Owner-occupied,4,bungalow,York and Humber,England,2
11,20319.6456631624,48962.5981936091,101 to 150,1965 to 1983,Privately rented,6,converted flat,West Midlands,England,3
12,24575.0736502196,47450.6699555819,Over 250,1945 to 1964,Owner-occupied,5,mid terraced,York and Humber,England,2
13,8639.15238920157,36427.4915284274,50 or less,1919 to 1944,Owner-occupied,5,end terrace,London,England,1
14,13453.4434597817,26666.5078075615,101 to 150,Post 1999,Owner-occupied,6,purpose built flat,South East,England,5 or more
15,14081.0005114817,15660.272661878,201 to 250,1919 to 1944,Owner-occupied,5,bungalow,South West,England,5 or more
16,17417.1006051963,31634.4951796368,201 to 250,1919 to 1944,Privately rented,5,end terrace,South West,England,2
17,13426.8918926698,23761.5775856281,201 to 250,Post 1999,Unknown,6,bungalow,North West,England,2
18,3142.23857883642,42910.7329990428,50 or less,Pre 1919,Owner-occupied,6,converted flat,Wales,Wales,5 or more
19,4078.80989042123,19182.4679234705,50 or less,Pre 1919,Privately rented,4,purpose built flat,East of England,England,2
20,20382.5551012026,37065.6108184786,151 to 200,1965 to 1983,Privately rented,5,converted flat,North West,England,4
21,13329.4020950258,42087.5592924206,Over 250,1945 to 1964,Council/Housing Association,5,purpose built flat,North East,England,5 or more
22,6938.10339329735,31659.0791820069,Over 250,1984 to 1992,Owner-occupied,5,bungalow,East Midlands,England,4
23,13913.1555164173,39016.6134387199,51 to 100,1965 to 1983,Privately rented,7,purpose built flat,Wales,Wales,4
24,19928.3463473829,63263.7999778129,51 to 100,1919 to 1944,Unknown,5,end terrace,York and Humber,England,2
25,22878.7146480916,43088.009228692,51 to 100,1993 to 1999,Owner-occupied,5,detached,East of England,England,2
26,12794.6724107982,49434.7178649909,51 to 100,1919 to 1944,Owner-occupied,5,semi-detached,West Midlands,England,2
27,13545.9633626339,34731.4322087408,Over 250,1919 to 1944,Council/Housing Association,3,end terrace,Wales,Wales,1
