Country,Country and parent code,Population Density,Year
Burundi,CC108_PC108,421.61253894081,2017
Comoros,CC174_PC174,437.340139709833,2017
Djibouti,CC262_PC262,40.7290767903365,2017
Eritrea,CC232_PC232,33.7910297029703,2017
Ethiopia,CC231_PC231,106.399926,2017
Kenya,CC404_PC404,88.2404083353832,2017
Madagascar,CC450_PC450,43.9510669565741,2017
Malawi,CC454_PC454,187.422496817989,2017
Mauritius,CC480_PC480,622.904926108374,2017
Mayotte,CC175_PC175,674.565333333333,2017
Mozambique,CC508_PC508,36.4315051247489,2017
Réunion,CC638_PC638,350.4524,2017
Rwanda,CC646_PC646,485.648966355898,2017
Seychelles,CC690_PC690,209.604347826087,2017
Somalia,CC706_PC706,23.2555950521248,2017
South Sudan,CC728_PC728,17.8586553191364,2017
Uganda,CC800_PC800,206.028667233872,2017
United Republic of Tanzania,CC834_PC834,61.7073210657033,2017
Zambia,CC894_PC894,22.671286942251,2017
Zimbabwe,CC716_PC716,36.8013416052734,2017
Angola,CC24_PC24,23.9165549049491,2017
Cameroon,CC120_PC120,51.96858539062,2017
Central African Republic,CC140_PC140,7.37748081800379,2017
Chad,CC148_PC148,11.9256361181703,2017
Congo,CC178_PC178,14.9654494875549,2017
Democratic Republic of the Congo,CC180_PC180,35.9051476588518,2017
Equatorial Guinea,CC226_PC226,44.9913725490196,2017
Gabon,CC266_PC266,8.01339698063414,2017
Sao Tome and Principe,CC678_PC678,215.714583333333,2017
Botswana,CC72_PC72,3.89087572565419,2017
Eswatini,CC748_PC748,65.3958139534884,2017
Lesotho,CC426_PC426,68.8910408432148,2017
Namibia,CC516_PC516,2.918319182791,2017
South Africa,CC710_PC710,46.9954834348647,2017
Benin,CC204_PC204,99.1059950336999,2017
Burkina Faso,CC854_PC854,70.150716374269,2017
Cabo Verde,CC132_PC132,133.374441687345,2017
Côte d'Ivoire,CC384_PC384,76.8474056603774,2017
Gambia,CC270_PC270,218.764822134387,2017
Ghana,CC288_PC288,127.983932495385,2017
Guinea,CC324_PC324,49.1108416083347,2017
Guinea-Bissau,CC624_PC624,65.0123044096728,2017
Liberia,CC430_PC430,48.8187707641196,2017
Mali,CC466_PC466,15.1717593161721,2017
Mauritania,CC478_PC478,4.15502280003881,2017
