Country,Country and parent code,Population Density,Year
Burundi,CC108_PC108,449.010007788162,2019
Comoros,CC174_PC174,457.22246104245,2019
Djibouti,CC262_PC262,41.9998705780846,2019
Eritrea,CC232_PC232,34.6249207920792,2019
Ethiopia,CC231_PC231,112.078727,2019
Kenya,CC404_PC404,92.3744017289243,2019
Madagascar,CC450_PC450,46.3553416581442,2019
Malawi,CC454_PC454,197.589616037336,2019
Mauritius,CC480_PC480,625.453201970443,2019
Mayotte,CC175_PC175,709.741333333333,2019
Mozambique,CC508_PC508,38.6149736768483,2019
Réunion,CC638_PC638,355.5728,2019
Rwanda,CC646_PC646,511.833725172274,2019
Seychelles,CC690_PC690,212.480434782609,2019
Somalia,CC706_PC706,24.616485478369,2019
South Sudan,CC728_PC728,18.1063672501138,2019
Uganda,CC800_PC800,221.55841549472,2019
United Republic of Tanzania,CC834_PC834,65.4836994806954,2019
Zambia,CC894_PC894,24.0264652470439,2019
Zimbabwe,CC716_PC716,37.8582732325191,2019
Angola,CC24_PC24,25.527632148873,2019
Cameroon,CC120_PC120,54.7405110955977,2019
Central African Republic,CC140_PC140,7.61690423448586,2019
Chad,CC148_PC148,12.6642963786531,2019
Congo,CC178_PC178,15.7555021961933,2019
Democratic Republic of the Congo,CC180_PC180,38.2834820581813,2019
Equatorial Guinea,CC226_PC226,48.3416042780749,2019
Gabon,CC266_PC266,8.43162960375674,2019
Sao Tome and Principe,CC678_PC678,224.008333333333,2019
Botswana,CC72_PC72,4.06490392250278,2019
Eswatini,CC748_PC748,66.7519186046512,2019
Lesotho,CC426_PC426,70.0022068511199,2019
Namibia,CC516_PC516,3.02994570564443,2019
South Africa,CC710_PC710,48.2719888878814,2019
Benin,CC204_PC204,104.65724547712,2019
Burkina Faso,CC854_PC854,74.2740606725146,2019
Cabo Verde,CC132_PC132,136.460545905707,2019
Côte d'Ivoire,CC384_PC384,80.8696666666667,2019
Gambia,CC270_PC270,231.985770750988,2019
Ghana,CC288_PC288,133.681365913686,2019
Guinea,CC324_PC324,51.9747924466873,2019
Guinea-Bissau,CC624_PC624,68.3114153627312,2019
Liberia,CC430_PC430,51.2601121262459,2019
Mali,CC466_PC466,16.1106245748613,2019
Mauritania,CC478_PC478,4.39089744833608,2019
Niger,CC562_PC562,18.4027149285545,2019
Nigeria,CC566_PC566,220.652418283431,2019
Saint Helena,CC654_PC654,15.5410256410256,2019
Senegal,CC686_PC686,84.6432348205474,2019
Sierra Leone,CC694_PC694,108.246148517595,2019
Togo,CC768_PC768,148.600091928663,2019
Algeria,CC12_PC12,18.0763030389547,2019
Egypt,CC818_PC818,100.846929529359,2019
Libya,CC434_PC434,3.85183229707765,2019
Morocco,CC504_PC504,81.7202912838898,2019
Sudan,CC729_PC729,24.2561263200985,2019
Tunisia,CC788_PC788,75.2749806900103,2019
Western Sahara,CC732_PC732,2.18969172932331,2019
Armenia,CC51_PC51,103.889286968739,2019
Azerbaijan,CC31_PC31,121.557731858985,2019
Bahrain,CC48_PC48,2159.42631578947,2019
Cyprus,CC196_PC196,129.715800865801,2019
Georgia,CC268_PC268,57.5156425384947,2019
Iraq,CC368_PC368,90.5088160803094,2019
Israel,CC376_PC376,393.686367837338,2019
Jordan,CC400_PC400,113.78347600811,2019
Kuwait,CC414_PC414,236.087373737374,2019
Lebanon,CC422_PC422,670.157282502444,2019
Oman,CC512_PC512,16.0742875605816,2019
Qatar,CC634_PC634,243.933763996555,2019
Saudi Arabia,CC682_PC682,15.9411491889528,2019
State of Palestine,CC275_PC275,827.478737541528,2019
Syrian Arab Republic,CC760_PC760,92.9593857212874,2019
Turkey,CC792_PC792,108.40222834349,2019
United Arab Emirates,CC784_PC784,116.872320574163,2019
Yemen,CC887_PC887,55.2340511771502,2019
Kazakhstan,CC398_PC398,6.87166277734563,2019
Kyrgyzstan,CC417_PC417,33.4507351407716,2019
Tajikistan,CC762_PC762,66.5977636467562,2019
Turkmenistan,CC795_PC795,12.6446364352138,2019
Uzbekistan,CC860_PC860,77.5310648801128,2019
Afghanistan,CC4_PC4,58.2693946634807,2019
Bangladesh,CC50_PC50,1252.56336329415,2019
Bhutan,CC64_PC64,20.0197811999895,2019
India,CC356_PC356,459.579695882201,2019
Iran (Islamic Republic of),CC364_PC364,50.9127094654754,2019
Maldives,CC462_PC462,1769.85666666667,2019
Nepal,CC524_PC524,199.572479944193,2019
Pakistan,CC586_PC586,280.93259262142,2019
Sri Lanka,CC144_PC144,340.037218944347,2019
China,CC156_PC156,152.721715777372,2019
"China, Hong Kong SAR",CC344_PC344,7082.05428571429,2019
"China, Macao SAR",CC446_PC446,21419.5986622074,2019
"China, Taiwan Province of China",CC158_PC158,671.388901440271,2019
Dem. People's Republic of Korea,CC408_PC408,213.156365750353,2019
Japan,CC392_PC392,347.986720796588,2019
Mongolia,CC496_PC496,2.07598419114807,2019
Republic of Korea,CC410_PC410,526.84686825054,2019
Brunei Darussalam,CC96_PC96,82.2193548387097,2019
Cambodia,CC116_PC116,93.3975866757308,2019
Indonesia,CC360_PC360,149.387308798446,2019
Lao People's Democratic Republic,CC418_PC418,31.0635008665511,2019
Malaysia,CC458_PC458,97.2448303150206,2019
Myanmar,CC104_PC104,82.7280717598616,2019
Philippines,CC608_PC608,362.600603682463,2019
Singapore,CC702_PC702,8291.91857142857,2019
Thailand,CC764_PC764,136.282920002349,2019
Timor-Leste,CC626_PC626,86.9616677874916,2019
Viet Nam,CC704_PC704,311.097842422679,2019
Anguilla,CC660_PC660,165.244444444444,2019
Antigua and Barbuda,CC28_PC28,220.715909090909,2019
Aruba,CC533_PC533,590.611111111111,2019
Bahamas,CC44_PC44,38.9096903096903,2019
Barbados,CC52_PC52,667.490697674419,2019
"Bonaire, Sint Eustatius and Saba",CC535_PC535,79.2164634146341,2019
British Virgin Islands,CC92_PC92,200.22,2019
Cayman Islands,CC136_PC136,270.616666666667,2019
Cuba,CC192_PC192,106.477677564825,2019
Curaçao,CC531_PC531,368.06981981982,2019
Dominica,CC212_PC212,95.744,2019
Dominican Republic,CC214_PC214,222.246626655629,2019
Grenada,CC308_PC308,329.417647058824,2019
Guadeloupe,CC312_PC312,245.72972972973,2019
Haiti,CC332_PC332,408.674854862119,2019
Jamaica,CC388_PC388,272.232409972299,2019
Martinique,CC474_PC474,354.299056603774,2019
Montserrat,CC500_PC500,49.91,2019
Puerto Rico,CC630_PC630,330.710710259301,2019
Saint Barthélemy,CC652_PC652,447.863636363636,2019
Saint Kitts and Nevis,CC659_PC659,203.207692307692,2019
Saint Lucia,CC662_PC662,299.66393442623,2019
Saint Martin (French part),CC663_PC663,717.018867924528,2019
Saint Vincent and the Grenadines,CC670_PC670,283.571794871795,2019
Sint Maarten (Dutch part),CC534_PC534,1246.73529411765,2019
Trinidad and Tobago,CC780_PC780,271.923781676413,2019
