LoanAmount,City,State,Zip,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,DaysApprovedSinceMay1st
149995.0,Peralta,NM,87042,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,21.0,2020-04-30,Bank of the West,NM-02,29
149900.0,ALBUQUERQUE,NM,87107,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,28.0,2020-04-13,"BOKF, National Association",NM-01,12
149872.5,DEXTER,NM,88230,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,N,28.0,2020-05-20,Pioneer Bank,NM-02,49
149813.0,SANTA FE,NM,87505,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-04-10,First National Bank of Omaha,NM-03,9
149690.0,JOGUES,NM,88008,Corporation,Unanswered,Unanswered,Unanswered,N,0.0,2020-05-01,BBVA USA,NM-02,30
149655.0,Santa Fe,NM,87505,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,13.0,2020-04-30,Accion,NM-03,29
149628.55,ALBUQUERQUE,NM,87113,Corporation,Asian,Male Owned,Non-Veteran,N,23.0,2020-04-12,BBVA USA,NM-01,11
149621.0,ALBUQUERQUE,NM,87120,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,9.0,2020-04-14,"U.S. Bank, National Association",NM-01,13
149615.0,ALBUQUERQUE,NM,87107,Corporation,Asian,Male Owned,Non-Veteran,N,47.0,2020-04-10,United Business Bank,NM-01,9
149587.0,ALBUQUERQUE,NM,87106,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-14,"U.S. Bank, National Association",NM-01,13
149565.0,ANTHONY,NM,88021,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,N,10.0,2020-04-14,BBVA USA,NM-02,13
149339.0,SANTA FE,NM,87501,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,9.0,2020-04-13,"Sunflower Bank, National Association",NM-03,12
149300.0,LAS CRUCES,NM,88001,Corporation,White,Female Owned,Non-Veteran,N,30.0,2020-04-07,Bank 34,NM-02,6
149225.0,Las Cruces,NM,88005,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,36.0,2020-04-30,Bank of the West,NM-02,29
149066.09,ARTESIA,NM,88211,Corporation,Unanswered,Male Owned,Unanswered,N,13.0,2020-04-06,"Western Bank, Artesia, New Mexico",NM-02,5
148875.0,LAS CRUCES,NM,88005,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,25.0,2020-04-15,Citizens Bank of Las Cruces,NM-02,14
148865.0,HOBBS,NM,88240,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,18.0,2020-04-15,First Interstate Bank,NM-02,14
148857.0,LAS CRUCES,NM,88007,Corporation,Unanswered,Unanswered,Unanswered,N,19.0,2020-04-07,Citizens Bank of Las Cruces,NM-02,6
148800.0,DEXTER,NM,88230,Sole Proprietorship,Unanswered,Unanswered,Unanswered,N,16.0,2020-04-10,First American Bank,NM-02,9
148700.0,ALBUQUERQUE,NM,87113,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,20.0,2020-04-08,First American Bank,NM-01,7
148642.0,ALBUQUERQUE,NM,87114,Corporation,Hispanic,Unanswered,Unanswered,N,3.0,2020-04-15,Century Bank,NM-01,14
148600.0,SANTA FE,NM,87505,Partnership,Unanswered,Female Owned,Unanswered,N,10.0,2020-04-29,Texas Brand Bank,NM-03,28
148509.57,ALBUQUERQUE,NM,87113,Corporation,White,Male Owned,Non-Veteran,N,17.0,2020-04-27,LCA Bank Corporation,NM-01,26
148500.0,ALBUQUERQUE,NM,87107,Corporation,White,Male Owned,Non-Veteran,N,10.0,2020-04-30,Western Commerce Bank,NM-01,29
148486.0,ALBUQUERQUE,NM,87111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,35.0,2020-08-03,"U.S. Bank, National Association",NM-01,124
148465.0,RIO RANCHO,NM,87124,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-03,32
