status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1,video,2018-04-22 06:00:00,529,512,262,432,92,3,1,1,0
2,photo,2018-04-21 22:45:00,150,0,0,150,0,0,0,0,0
3,video,2018-04-21 06:17:00,227,236,57,204,21,1,1,0,0
4,photo,2018-04-21 02:29:00,111,0,0,111,0,0,0,0,0
5,photo,2018-04-18 03:22:00,213,0,0,204,9,0,0,0,0
6,photo,2018-04-18 02:14:00,217,6,0,211,5,1,0,0,0
7,video,2018-04-18 00:24:00,503,614,72,418,70,10,2,0,3
8,video,2018-04-17 07:42:00,295,453,53,260,32,1,1,0,1
9,photo,2018-04-17 03:33:00,203,1,0,198,5,0,0,0,0
10,photo,2018-04-11 04:53:00,170,9,1,167,3,0,0,0,0
11,photo,2018-04-10 01:01:00,210,2,3,202,7,1,0,0,0
12,photo,2018-04-09 02:06:00,222,4,0,213,5,4,0,0,0
13,photo,2018-04-08 05:10:00,313,4,2,305,6,2,0,0,0
14,photo,2018-04-08 02:23:00,209,4,0,200,8,1,0,0,0
15,photo,2018-04-05 09:23:00,346,11,0,335,10,1,0,0,0
16,video,2018-04-01 05:16:00,332,100,30,303,23,1,5,0,0
17,video,2018-03-30 08:28:00,135,256,79,117,18,0,0,0,0
18,video,2018-03-26 08:28:00,150,173,47,132,16,1,0,1,0
19,video,2018-03-23 07:09:00,221,166,36,192,28,0,1,0,0
20,photo,2018-03-22 01:25:00,152,2,0,149,3,0,0,0,0
21,photo,2018-03-21 08:40:00,234,15,1,221,12,1,0,0,0
22,photo,2018-03-21 07:46:00,227,7,1,217,7,2,1,0,0
23,photo,2018-03-20 01:54:00,98,0,0,96,0,2,0,0,0
24,video,2018-03-20 01:28:00,18,0,0,18,0,0,0,0,0
25,photo,2018-03-20 00:15:00,102,0,0,100,0,2,0,0,0
26,video,2018-03-19 22:34:00,37,0,1,37,0,0,0,0,0
27,video,2018-03-17 08:07:00,75,36,14,70,5,0,0,0,0
28,video,2018-03-17 07:47:00,90,78,9,85,5,0,0,0,0
29,photo,2018-03-12 05:51:00,145,9,0,138,7,0,0,0,0
30,video,2018-03-09 07:45:00,253,300,31,229,22,1,1,0,0
31,photo,2018-03-09 05:55:00,85,0,0,81,2,2,0,0,0
32,video,2018-03-07 13:10:00,45,14,0,40,5,0,0,0,0
33,photo,2018-03-07 06:13:00,92,0,0,85,4,2,1,0,0
34,photo,2018-03-07 04:46:00,125,1,0,116,8,1,0,0,0
35,photo,2018-03-05 08:32:00,119,4,0,116,3,0,0,0,0
36,photo,2018-03-05 02:48:00,293,8,0,281,11,1,0,0,0
37,video,2018-03-02 09:55:00,128,137,26,110,16,2,0,0,0
38,photo,2018-02-28 08:19:00,84,15,13,78,5,1,0,0,0
39,photo,2018-02-28 01:43:00,66,11,6,61,4,1,0,0,0
40,video,2018-02-26 08:50:00,171,292,28,150,19,1,1,0,0
41,video,2018-02-25 10:13:00,90,72,23,79,10,1,0,0,0
42,video,2018-02-21 00:19:00,139,39,9,121,16,1,1,0,0
43,video,2018-02-19 00:11:00,236,181,21,201,33,0,1,0,1
44,video,2018-02-18 07:15:00,225,210,34,193,30,0,2,0,0
45,photo,2018-02-17 22:30:00,275,12,0,260,11,4,0,0,0
46,video,2018-02-17 04:15:00,372,456,37,334,31,1,1,1,4
47,photo,2018-02-15 03:47:00,445,9,0,419,23,3,0,0,0
48,video,2018-02-14 08:23:00,128,60,11,114,13,0,0,0,1
49,video,2018-02-13 01:16:00,186,235,46,163,19,0,3,0,1
50,video,2018-02-12 03:28:00,309,444,36,254,42,2,8,3,0
51,photo,2018-02-11 05:55:00,77,11,3,75,2,0,0,0,0
52,video,2018-02-10 07:54:00,119,72,28,103,16,0,0,0,0
53,photo,2018-02-09 01:48:00,100,21,13,95,5,0,0,0,0
54,video,2018-02-08 09:14:00,240,255,111,193,44,1,1,0,1
55,video,2018-02-07 08:35:00,164,136,48,146,15,2,0,1,0
56,video,2018-02-06 08:46:00,202,327,42,171,30,1,0,0,0
57,video,2018-02-05 09:20:00,211,284,46,186,25,0,0,0,0
58,video,2018-02-04 03:25:00,148,114,16,136,10,0,2,0,0
59,video,2018-02-03 08:34:00,97,81,16,84,13,0,0,0,0
60,video,2018-02-02 09:24:00,279,292,34,254,20,3,1,1,0
61,photo,2018-02-02 07:08:00,263,8,0,245,14,4,0,0,0
62,video,2018-02-02 06:01:00,177,193,34,151,25,1,0,0,0
63,photo,2018-01-28 07:50:00,517,32,1,484,26,7,0,0,0
64,video,2018-01-28 05:25:00,289,258,33,256,33,0,0,0,0
65,photo,2018-01-26 13:03:00,66,13,0,65,1,0,0,0,0
66,photo,2018-01-26 13:02:00,112,6,0,104,8,0,0,0,0
67,video,2018-01-26 08:47:00,206,259,48,181,22,1,2,0,0
68,video,2018-01-25 08:40:00,362,468,86,305,56,0,0,1,0
69,video,2018-01-23 09:04:00,184,130,51,161,23,0,0,0,0
70,video,2018-01-22 09:37:00,216,251,34,199,16,0,0,0,1
71,video,2018-01-22 09:15:00,57,0,0,56,1,0,0,0,0
72,video,2018-01-21 09:10:00,272,258,43,226,44,1,1,0,0
73,video,2018-01-20 23:10:00,248,247,34,208,33,3,2,0,2
74,video,2018-01-20 09:08:00,132,89,40,110,20,1,0,0,1
75,video,2018-01-19 09:16:00,226,341,41,196,30,0,0,0,0
76,video,2018-01-19 09:06:00,35,1,0,35,0,0,0,0,0
77,video,2018-01-18 08:54:00,219,316,36,170,46,3,0,0,0
78,video,2018-01-18 05:08:00,94,1,1,94,0,0,0,0,0
79,video,2018-01-17 09:29:00,259,368,50,234,25,0,0,0,0
80,video,2018-01-16 22:36:00,62,1,0,62,0,0,0,0,0
81,video,2018-01-16 22:13:00,127,76,21,114,13,0,0,0,0
82,video,2018-01-16 00:53:00,149,63,15,134,15,0,0,0,0
83,video,2018-01-13 09:18:00,134,171,41,116,18,0,0,0,0
84,video,2018-01-11 09:05:00,392,461,47,360,32,0,0,0,0
85,video,2018-01-10 08:57:00,310,540,41,284,26,0,0,0,0
86,photo,2018-01-02 23:05:00,14,3,0,12,2,0,0,0,0
87,photo,2017-12-26 06:23:00,293,6,1,275,15,3,0,0,0
88,photo,2017-12-24 10:28:00,236,12,0,226,8,1,1,0,0
89,photo,2017-12-21 08:14:00,312,10,0,291,18,3,0,0,0
90,photo,2017-12-10 23:28:00,24,12,0,24,0,0,0,0,0
91,link,2017-12-08 02:37:00,16,9,0,15,1,0,0,0,0
92,photo,2017-12-07 06:41:00,33,12,0,32,1,0,0,0,0
93,photo,2017-12-05 01:25:00,675,10,0,645,29,1,0,0,0
94,photo,2017-12-04 08:28:00,737,18,0,697,31,9,0,0,0
95,photo,2017-12-03 01:40:00,572,16,0,554,16,2,0,0,0
96,photo,2017-11-22 22:14:00,23,7,0,20,3,0,0,0,0
97,photo,2017-11-21 01:37:00,266,25,0,250,11,5,0,0,0
98,video,2017-11-21 00:22:00,378,512,30,348,27,2,0,0,1
99,video,2017-11-18 22:32:00,421,709,30,373,45,2,0,1,0
100,video,2017-11-18 01:23:00,1493,1979,753,1333,139,9,3,8,1
101,photo,2017-11-16 00:01:00,76,17,0,76,0,0,0,0,0
102,photo,2017-11-09 00:32:00,36,11,0,34,2,0,0,0,0
103,photo,2017-11-02 21:22:00,19,8,0,18,0,0,1,0,0
104,photo,2017-10-30 23:46:00,27,10,0,27,0,0,0,0,0
105,photo,2017-10-26 12:02:00,117,2,53,108,9,0,0,0,0
106,photo,2017-10-26 11:53:00,146,1,0,145,1,0,0,0,0
107,photo,2017-10-25 22:45:00,166,0,13,151,7,0,0,8,0
108,photo,2017-10-25 22:29:00,190,0,31,171,0,0,0,19,0
109,photo,2017-10-24 03:55:00,217,16,0,213,4,0,0,0,0
110,photo,2017-10-24 01:20:00,458,14,0,451,3,4,0,0,0
111,photo,2017-10-23 03:52:00,553,15,0,538,12,3,0,0,0
112,photo,2017-10-23 03:23:00,203,18,11,190,7,6,0,0,0
113,photo,2017-10-22 00:38:00,1005,25,1,979,16,9,1,0,0
114,video,2017-10-21 23:43:00,202,145,23,182,19,0,0,0,1
115,photo,2017-10-21 03:19:00,428,14,0,419,4,5,0,0,0
116,photo,2017-10-20 06:37:00,479,17,0,462,10,7,0,0,0
117,video,2017-10-20 03:19:00,212,116,11,201,10,1,0,0,0
118,video,2017-10-19 02:44:00,225,157,17,211,14,0,0,0,0
119,video,2017-10-18 09:13:00,171,46,5,156,12,2,1,0,0
120,video,2017-10-18 02:33:00,247,120,16,232,14,1,0,0,0
121,video,2017-10-17 05:37:00,269,453,39,242,26,1,0,0,0
122,video,2017-10-17 02:36:00,258,486,32,235,23,0,0,0,0
123,photo,2017-10-17 01:47:00,109,2,1,104,5,0,0,0,0
124,photo,2017-10-16 22:47:00,97,5,0,96,0,1,0,0,0
125,video,2017-10-16 06:37:00,280,199,25,254,24,2,0,0,0
126,video,2017-10-16 05:25:00,325,77,21,293,30,1,1,0,0
127,photo,2017-10-15 22:58:00,51,11,0,51,0,0,0,0,0
128,video,2017-10-15 02:27:00,280,825,47,243,35,1,1,0,0
129,video,2017-10-14 10:37:00,688,0,0,632,34,0,0,22,0
130,video,2017-10-14 03:35:00,365,805,46,320,39,1,3,0,2
131,photo,2017-10-12 21:43:00,295,5,0,295,0,0,0,0,0
132,photo,2017-10-11 22:21:00,27,14,0,26,1,0,0,0,0
133,photo,2017-10-06 08:04:00,15,11,0,15,0,0,0,0,0
134,photo,2017-10-04 23:19:00,16,12,0,16,0,0,0,0,0
135,photo,2017-10-01 03:31:00,29,12,0,29,0,0,0,0,0
136,video,2017-10-01 01:05:00,28,6,0,28,0,0,0,0,0
137,photo,2017-09-28 23:21:00,8,8,0,8,0,0,0,0,0
138,photo,2017-09-28 00:12:00,10,9,0,10,0,0,0,0,0
139,photo,2017-09-26 22:39:00,39,8,0,39,0,0,0,0,0
140,photo,2017-09-25 22:52:00,49,11,0,47,2,0,0,0,0
141,video,2017-09-24 01:58:00,226,449,37,189,25,1,1,10,0
142,video,2017-09-24 01:52:00,104,49,13,91,12,0,0,1,0
143,photo,2017-09-23 03:56:00,251,17,0,244,7,0,0,0,0
144,video,2017-09-23 00:09:00,244,589,48,213,29,1,1,0,0
145,video,2017-09-22 08:48:00,252,558,41,204,45,1,1,0,1
146,video,2017-09-21 08:22:00,121,15,4,114,4,2,1,0,0
147,photo,2017-09-21 01:50:00,321,5,0,307,11,2,1,0,0
148,photo,2017-09-21 00:26:00,103,8,3,99,4,0,0,0,0
149,video,2017-09-20 23:43:00,136,31,16,122,14,0,0,0,0
150,video,2017-09-20 21:25:00,337,247,27,300,35,1,1,0,0
151,photo,2017-09-20 09:47:00,648,13,0,627,18,3,0,0,0
152,video,2017-09-20 00:19:00,175,157,14,157,18,0,0,0,0
153,video,2017-09-19 07:39:00,339,424,36,296,38,1,4,0,0
154,photo,2017-09-19 06:44:00,341,3,0,331,8,2,0,0,0
155,video,2017-09-19 00:40:00,177,131,27,150,27,0,0,0,0
156,photo,2017-09-13 03:48:00,201,0,0,195,4,2,0,0,0
157,photo,2017-09-12 22:34:00,43,7,0,41,2,0,0,0,0
158,photo,2017-09-11 06:14:00,40,7,0,39,1,0,0,0,0
159,photo,2017-09-07 22:52:00,58,14,0,57,1,0,0,0,0
160,video,2017-09-07 04:21:00,403,525,42,363,36,1,3,0,0
161,photo,2017-09-07 02:02:00,148,4,3,144,4,0,0,0,0
162,photo,2017-09-06 23:14:00,150,24,2,144,6,0,0,0,0
163,photo,2017-09-06 07:33:00,53,12,0,53,0,0,0,0,0
164,status,2017-09-06 06:22:00,144,15,8,140,4,0,0,0,0
165,video,2017-09-06 03:48:00,298,491,46,262,34,2,0,0,0
166,photo,2017-09-06 02:02:00,171,4,1,166,5,0,0,0,0
167,photo,2017-09-03 05:39:00,4410,633,257,4315,73,17,5,0,0
168,video,2017-08-31 08:50:00,374,588,46,327,47,0,0,0,0
169,photo,2017-08-30 08:38:00,181,20,0,180,1,0,0,0,0
170,photo,2017-08-27 09:46:00,267,20,1,249,8,10,0,0,0
171,photo,2017-08-27 04:54:00,60,7,0,59,1,0,0,0,0
172,photo,2017-08-25 07:36:00,98,23,5,95,2,1,0,0,0
173,video,2017-08-25 02:29:00,26,7,0,26,0,0,0,0,0
174,photo,2017-08-24 02:18:00,255,18,0,244,11,0,0,0,0
175,photo,2017-08-23 06:15:00,174,6,1,167,5,2,0,0,0
176,photo,2017-08-22 10:59:00,64,5,1,59,5,0,0,0,0
177,photo,2017-08-22 10:32:00,62,3,0,58,4,0,0,0,0
178,video,2017-08-22 01:40:00,192,417,40,168,22,1,1,0,0
179,photo,2017-08-22 00:09:00,110,18,6,110,0,0,0,0,0
180,photo,2017-08-22 00:08:00,119,12,7,117,2,0,0,0,0
181,photo,2017-08-20 04:41:00,42,11,0,41,0,1,0,0,0
182,video,2017-08-19 23:14:00,234,355,34,178,52,2,0,1,1
183,photo,2017-08-18 11:35:00,54,10,0,53,1,0,0,0,0
184,photo,2017-08-18 11:33:00,82,8,0,80,1,0,0,1,0
185,photo,2017-08-18 08:36:00,18,8,0,18,0,0,0,0,0
186,photo,2017-08-15 09:58:00,147,17,7,141,5,1,0,0,0
187,photo,2017-08-15 09:31:00,80,8,0,79,1,0,0,0,0
188,video,2017-08-14 07:41:00,299,564,42,262,34,1,1,0,1
189,photo,2017-08-12 02:40:00,629,11,1,607,18,4,0,0,0
190,photo,2017-08-11 20:41:00,69,2,0,67,2,0,0,0,0
191,video,2017-08-11 00:27:00,219,110,17,190,26,1,2,0,0
192,photo,2017-08-10 23:39:00,30,2,0,27,3,0,0,0,0
193,photo,2017-08-10 09:17:00,65,1,0,62,2,1,0,0,0
194,photo,2017-08-10 03:03:00,161,7,0,153,8,0,0,0,0
195,video,2017-08-10 01:24:00,398,605,30,348,44,3,3,0,0
196,photo,2017-08-09 05:14:00,47,7,0,47,0,0,0,0,0
197,photo,2017-08-09 01:45:00,182,3,4,177,5,0,0,0,0
198,video,2017-08-08 22:24:00,317,158,32,269,47,1,0,0,0
199,video,2017-08-08 05:13:00,571,888,107,459,107,1,1,1,2
200,photo,2017-08-07 09:18:00,16,10,0,15,1,0,0,0,0
201,photo,2017-08-06 01:08:00,30,9,0,30,0,0,0,0,0
202,photo,2017-08-06 00:36:00,57,7,0,57,0,0,0,0,0
203,photo,2017-08-05 01:44:00,74,6,3,74,0,0,0,0,0
204,video,2017-08-03 04:50:00,368,911,50,317,50,1,0,0,0
205,photo,2017-08-03 04:31:00,19,3,0,19,0,0,0,0,0
206,photo,2017-08-02 22:18:00,176,3,0,175,0,1,0,0,0
207,photo,2017-08-02 06:02:00,133,7,0,133,0,0,0,0,0
208,photo,2017-08-02 02:54:00,162,6,2,158,3,1,0,0,0
209,video,2017-08-01 23:33:00,734,996,73,601,116,11,6,0,0
210,status,2017-08-01 00:57:00,42,16,9,41,1,0,0,0,0
211,status,2017-07-31 09:50:00,33,6,3,31,2,0,0,0,0
212,video,2017-07-28 01:10:00,29,6,1,29,0,0,0,0,0
213,photo,2017-07-27 22:48:00,43,6,0,42,1,0,0,0,0
214,photo,2017-07-27 08:08:00,14,6,0,13,1,0,0,0,0
215,video,2017-07-26 09:01:00,475,574,48,406,63,4,2,0,0
216,photo,2017-07-25 23:18:00,50,8,2,49,1,0,0,0,0
217,photo,2017-07-25 22:46:00,94,23,6,94,0,0,0,0,0
218,video,2017-07-22 08:50:00,303,34,3,291,11,1,0,0,0
219,photo,2017-07-22 07:08:00,168,7,1,167,1,0,0,0,0
220,photo,2017-07-21 23:32:00,248,14,0,241,7,0,0,0,0
221,photo,2017-07-21 08:52:00,422,6,0,410,8,3,1,0,0
222,photo,2017-07-21 04:20:00,189,3,0,184,2,0,3,0,0
223,photo,2017-07-21 02:59:00,390,17,2,382,5,3,0,0,0
224,photo,2017-07-20 23:30:00,618,28,0,597,14,7,0,0,0
225,photo,2017-07-20 08:59:00,191,2,2,188,2,1,0,0,0
226,video,2017-07-18 07:53:00,321,1381,67,275,44,1,1,0,0
227,photo,2017-07-16 02:18:00,364,7,2,347,15,2,0,0,0
228,photo,2017-07-13 00:11:00,51,10,0,51,0,0,0,0,0
229,video,2017-07-12 07:59:00,282,524,38,247,34,0,1,0,0
230,photo,2017-07-09 07:26:00,369,14,1,362,7,0,0,0,0
231,photo,2017-07-08 08:41:00,138,16,6,133,4,1,0,0,0
232,photo,2017-07-05 09:15:00,96,9,1,93,1,2,0,0,0
233,photo,2017-07-04 05:55:00,186,11,0,184,1,1,0,0,0
234,photo,2017-07-04 01:30:00,487,15,0,461,14,12,0,0,0
235,video,2017-07-03 23:23:00,282,19,4,257,20,3,2,0,0
236,photo,2017-06-26 04:06:00,383,8,1,367,13,3,0,0,0
237,photo,2017-06-25 11:49:00,216,0,1,211,5,0,0,0,0
238,photo,2017-06-25 09:47:00,48,0,0,45,2,1,0,0,0
239,video,2017-06-25 07:42:00,885,462,26,659,220,0,2,0,0
240,photo,2017-06-25 07:02:00,185,11,1,175,10,0,0,0,0
241,photo,2017-06-25 04:58:00,259,1,1,251,7,0,1,0,0
242,photo,2017-06-25 02:48:00,299,9,0,291,8,0,0,0,0
243,photo,2017-06-24 23:41:00,199,9,1,186,13,0,0,0,0
244,photo,2017-06-24 04:34:00,717,40,1,680,30,7,0,0,0
245,photo,2017-06-22 06:34:00,155,2,0,150,5,0,0,0,0
246,photo,2017-06-21 04:15:00,293,8,0,282,11,0,0,0,0
247,photo,2017-06-18 11:48:00,243,6,0,237,5,1,0,0,0
248,photo,2017-06-13 23:17:00,264,2,0,256,2,5,0,0,0
249,photo,2017-06-13 01:31:00,313,3,0,297,7,6,0,0,0
250,photo,2017-06-12 09:38:00,208,1,0,201,7,0,0,0,0
251,photo,2017-06-12 09:33:00,216,0,0,209,6,1,0,0,0
252,photo,2017-06-12 05:08:00,247,6,0,234,9,1,0,0,0
253,photo,2017-06-12 01:38:00,152,1,0,146,5,1,0,0,0
254,photo,2017-06-11 07:04:00,387,3,0,368,16,1,0,0,0
255,photo,2017-06-10 08:19:00,178,9,0,170,6,0,0,0,0
256,photo,2017-06-10 06:00:00,218,4,0,212,5,1,0,0,0
257,photo,2017-06-10 01:08:00,270,3,0,256,10,3,0,0,0
258,photo,2017-06-08 09:26:00,351,4,1,344,6,0,0,0,0
259,photo,2017-06-08 05:29:00,232,0,2,224,8,0,0,0,0
260,photo,2017-06-08 05:22:00,252,3,0,244,4,4,0,0,0
261,photo,2017-06-08 03:27:00,122,0,0,114,8,0,0,0,0
262,photo,2017-06-07 07:28:00,209,4,0,199,9,1,0,0,0
263,photo,2017-06-07 02:36:00,305,5,1,295,10,0,0,0,0
264,photo,2017-06-05 06:43:00,71,10,2,70,1,0,0,0,0
